State_Name,Crop_Year,Season,Crop,Area,Production,crop_productivity
Andhra Pradesh,2000,Kharif     ,Arhar/Tur,251268,124791,0.496645016
Andhra Pradesh,2000,Kharif     ,Bajra,92898,114026,1.227432238
Andhra Pradesh,2000,Kharif     ,Dry chillies,100379,248632,2.476932426
Andhra Pradesh,2000,Kharif     ,Groundnut,1461958,1599583,1.094137451
Andhra Pradesh,2000,Kharif     ,Maize,43578,113479,2.604043325
Andhra Pradesh,2000,Kharif     ,Moong(Green Gram),91663,40688,0.443886846
Andhra Pradesh,2000,Kharif     ,Onion,13371,186601,13.95565029
Andhra Pradesh,2000,Kharif     ,Ragi,64665,73383,1.134817908
Andhra Pradesh,2000,Kharif     ,Rice,1886639,5143420,2.726234325
Andhra Pradesh,2000,Kharif     ,Sunflower,163853,142794,0.871476262
Andhra Pradesh,2000,Rabi       ,Arhar/Tur,3331,1652,0.495947163
Andhra Pradesh,2000,Rabi       ,Bajra,5425,7234,1.333456221
Andhra Pradesh,2000,Rabi       ,Dry chillies,27677,54065,1.953427033
Andhra Pradesh,2000,Rabi       ,Groundnut,149045,246918,1.656667449
Andhra Pradesh,2000,Rabi       ,Maize,34803,187379,5.383989886
Andhra Pradesh,2000,Rabi       ,Moong(Green Gram),122384,41013,0.335117336
Andhra Pradesh,2000,Rabi       ,Onion,5151,105041,20.392351
Andhra Pradesh,2000,Rabi       ,Ragi,14208,24611,1.732193131
Andhra Pradesh,2000,Rabi       ,Rice,808102,2897247,3.585249139
Andhra Pradesh,2000,Rabi       ,Wheat,1492,851,0.570375335
Andhra Pradesh,2001,Kharif     ,Arhar/Tur,189334,94170,0.497375009
Andhra Pradesh,2001,Kharif     ,Bajra,52358,49827,0.951659727
Andhra Pradesh,2001,Kharif     ,Dry chillies,100762,313335,3.109654433
Andhra Pradesh,2001,Kharif     ,Groundnut,1322625,734787,0.555552027
Andhra Pradesh,2001,Kharif     ,Maize,27765,74214,2.672933549
Andhra Pradesh,2001,Kharif     ,Moong(Green Gram),44530,21512,0.483090052
Andhra Pradesh,2001,Kharif     ,Onion,13985,194037,13.87465141
Andhra Pradesh,2001,Kharif     ,Ragi,59188,67928,1.147665067
Andhra Pradesh,2001,Kharif     ,Rice,1546987,4156586,2.686891357
Andhra Pradesh,2001,Kharif     ,Sunflower,238944,197711,0.827436554
Andhra Pradesh,2001,Rabi       ,Arhar/Tur,2712,1450,0.534660767
Andhra Pradesh,2001,Rabi       ,Bajra,2820,4236,1.50212766
Andhra Pradesh,2001,Rabi       ,Dry chillies,25954,50371,1.940779841
Andhra Pradesh,2001,Rabi       ,Groundnut,131398,265348,2.019421909
Andhra Pradesh,2001,Rabi       ,Maize,30420,196908,6.472978304
Andhra Pradesh,2001,Rabi       ,Moong(Green Gram),129878,39646,0.305255702
